task,hops,terminal,variant,total_pages,relevant_pages,distractor_pages,condition,ratio,n,clean_hit,exact_match,semantic_correct,rank_correct,rank_margin,raw_context_tokens_available,raw_context_tokens_supplied,compiled_state_positions,active_prompt_positions,supplied_pages,supplied_relevant_pages,supplied_distractor_pages
chain,2,hash,base,2,2,0,BUDGET,4,6,0.0,0.0,0.0,0.3333333333333333,-0.459555705388387,235.83333333333334,59.833333333333336,0.0,156.33333333333334,1.0,1.0,0.0
chain,2,hash,base,2,2,0,INDEPENDENT,4,6,0.0,0.0,0.0,0.6666666666666666,0.014216730991999308,235.83333333333334,0.0,59.833333333333336,156.33333333333334,2.0,2.0,0.0
chain,2,hash,base,2,2,0,INDEPENDENT_LOO_0,4,6,0.0,0.0,0.0,0.5,-0.08806813756624858,235.83333333333334,0.0,37.0,133.5,1.0,1.0,0.0
chain,2,hash,base,2,2,0,INDEPENDENT_LOO_1,4,6,0.0,0.0,0.0,0.3333333333333333,-0.26044201850891113,235.83333333333334,0.0,22.833333333333332,119.33333333333333,1.0,1.0,0.0
chain,2,hash,base,2,2,0,JOINT,4,6,0.0,0.0,0.0,0.6666666666666666,0.5663255658000708,235.83333333333334,0.0,59.5,156.0,2.0,2.0,0.0
chain,2,hash,base,2,2,0,NATIVE,4,6,1.0,0.8333333333333334,1.0,1.0,1.9444262766175893,235.83333333333334,235.83333333333334,0.0,332.3333333333333,2.0,2.0,0.0
chain,2,hash,base,2,2,0,NATIVE_LOO_0,4,6,0.3333333333333333,0.0,0.3333333333333333,0.5,-0.3376666020615981,235.83333333333334,146.0,0.0,242.5,1.0,1.0,0.0
chain,2,hash,base,2,2,0,NATIVE_LOO_1,4,6,0.0,0.0,0.0,0.3333333333333333,-0.4588337739308675,235.83333333333334,89.83333333333333,0.0,186.33333333333334,1.0,1.0,0.0
chain,2,hash,base,2,2,0,NOCTX,4,6,0.0,0.0,0.0,0.3333333333333333,-0.3827911615371704,235.83333333333334,0.0,0.0,92.5,0.0,0.0,0.0
chain,2,hash,base,2,2,0,RANDOM,4,6,0.0,0.0,0.0,0.3333333333333333,-0.31492578983306885,235.83333333333334,0.0,59.833333333333336,156.33333333333334,2.0,0.0,2.0
chain,2,hash,base,2,2,0,WRONGPAGE,4,6,0.0,0.0,0.0,0.3333333333333333,-0.4131952126820882,235.83333333333334,0.0,59.833333333333336,156.33333333333334,2.0,0.0,2.0
chain,2,identifier,base,2,2,0,BUDGET,4,6,0.0,0.0,0.0,0.0,-0.6220409075419108,216.83333333333334,55.0,0.0,151.33333333333334,1.0,1.0,0.0
chain,2,identifier,base,2,2,0,INDEPENDENT,4,6,0.0,0.0,0.0,0.3333333333333333,-1.2175563077131908,216.83333333333334,0.0,55.0,151.33333333333334,2.0,2.0,0.0
chain,2,identifier,base,2,2,0,INDEPENDENT_LOO_0,4,6,0.0,0.0,0.0,0.3333333333333333,-1.3197035243113835,216.83333333333334,0.0,31.833333333333332,128.16666666666666,1.0,1.0,0.0
chain,2,identifier,base,2,2,0,INDEPENDENT_LOO_1,4,6,0.0,0.0,0.0,0.3333333333333333,-0.38281957308451336,216.83333333333334,0.0,23.166666666666668,119.5,1.0,1.0,0.0
chain,2,identifier,base,2,2,0,JOINT,4,6,0.0,0.0,0.0,0.16666666666666666,-1.0464178308223684,216.83333333333334,0.0,54.666666666666664,151.0,2.0,2.0,0.0
chain,2,identifier,base,2,2,0,NATIVE,4,6,1.0,0.6666666666666666,1.0,1.0,3.134295185407003,216.83333333333334,216.83333333333334,0.0,313.1666666666667,2.0,2.0,0.0
chain,2,identifier,base,2,2,0,NATIVE_LOO_0,4,6,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5694433345845198,216.83333333333334,126.0,0.0,222.33333333333334,1.0,1.0,0.0
chain,2,identifier,base,2,2,0,NATIVE_LOO_1,4,6,0.0,0.0,0.0,0.0,-0.6825129985809326,216.83333333333334,90.83333333333333,0.0,187.16666666666666,1.0,1.0,0.0
chain,2,identifier,base,2,2,0,NOCTX,4,6,0.0,0.0,0.0,0.0,-0.5434519449869791,216.83333333333334,0.0,0.0,92.33333333333333,0.0,0.0,0.0
chain,2,identifier,base,2,2,0,RANDOM,4,6,0.0,0.0,0.0,0.3333333333333333,-0.3607957760492961,216.83333333333334,0.0,55.0,151.33333333333334,2.0,0.0,2.0
chain,2,identifier,base,2,2,0,WRONGPAGE,4,6,0.0,0.0,0.0,0.0,-1.0095213254292805,216.83333333333334,0.0,55.0,151.33333333333334,2.0,0.0,2.0
chain,2,number,base,2,2,0,BUDGET,4,6,0.0,0.0,0.0,0.3333333333333333,-0.4226087729136149,211.5,53.833333333333336,0.0,150.5,1.0,1.0,0.0
chain,2,number,base,2,2,0,INDEPENDENT,4,6,0.0,0.0,0.0,0.0,-1.0372659961382549,211.5,0.0,53.833333333333336,150.5,2.0,2.0,0.0
chain,2,number,base,2,2,0,INDEPENDENT_LOO_0,4,6,0.0,0.0,0.0,0.0,-1.1978269517421722,211.5,0.0,30.166666666666668,126.83333333333333,1.0,1.0,0.0
chain,2,number,base,2,2,0,INDEPENDENT_LOO_1,4,6,0.0,0.0,0.0,0.3333333333333333,-0.07178632418314616,211.5,0.0,23.666666666666668,120.33333333333333,1.0,1.0,0.0
chain,2,number,base,2,2,0,JOINT,4,6,0.0,0.0,0.0,0.16666666666666666,-1.8469198147455852,211.5,0.0,53.166666666666664,149.83333333333334,2.0,2.0,0.0
chain,2,number,base,2,2,0,NATIVE,4,6,1.0,1.0,1.0,1.0,4.517605622609456,211.5,211.5,0.0,308.1666666666667,2.0,2.0,0.0
chain,2,number,base,2,2,0,NATIVE_LOO_0,4,6,0.0,0.0,0.0,0.0,-1.8521789101117367,211.5,119.16666666666667,0.0,215.83333333333334,1.0,1.0,0.0
chain,2,number,base,2,2,0,NATIVE_LOO_1,4,6,0.0,0.0,0.0,0.16666666666666666,-0.42752234141031903,211.5,92.33333333333333,0.0,189.0,1.0,1.0,0.0
chain,2,number,base,2,2,0,NOCTX,4,6,0.0,0.0,0.0,0.0,-0.4525643587112427,211.5,0.0,0.0,92.66666666666667,0.0,0.0,0.0
chain,2,number,base,2,2,0,RANDOM,4,6,0.0,0.0,0.0,0.5,-0.07861967881520589,211.5,0.0,53.833333333333336,150.5,2.0,0.0,2.0
chain,2,number,base,2,2,0,WRONGPAGE,4,6,0.0,0.0,0.0,0.5,-0.0682973066965739,211.5,0.0,53.833333333333336,150.5,2.0,0.0,2.0
chain,2,semantic,base,2,2,0,BUDGET,4,24,0.0,0.0,0.0,0.25,-1.2694144248962402,194.0,49.166666666666664,0.0,146.625,1.0,1.0,0.0
chain,2,semantic,base,2,2,0,INDEPENDENT,4,24,0.0,0.0,0.0,0.375,-1.8805216550827026,194.0,0.0,49.166666666666664,146.625,2.0,2.0,0.0
chain,2,semantic,base,2,2,0,INDEPENDENT_LOO_0,4,24,0.0,0.0,0.0,0.3333333333333333,-1.9508627851804097,194.0,0.0,26.041666666666668,123.5,1.0,1.0,0.0
