condition,fact_class,n,clean_hit,semantic_hit,exact_hit,distractor_hit,rank_margin
NATIVE,composition,40,0.55,0.55,0.55,0.125,4.408114703583914
NATIVE,date,40,1.0,1.0,1.0,0.0,2.7857799619436263
NATIVE,hash,40,1.0,1.0,1.0,0.0,2.715616887621683
NATIVE,identifier,40,1.0,1.0,1.0,0.0,5.14017226621756
NATIVE,number,40,1.0,1.0,1.0,0.0,5.03647538666817
NATIVE,path,40,1.0,1.0,1.0,0.0,2.584920804119153
NATIVE,proper_noun,40,1.0,1.0,1.0,0.0,8.18492642429641
NATIVE,semantic,40,0.975,0.975,0.975,0.025,13.842190198168305
NATIVE,url,40,1.0,1.0,1.0,0.0,2.5801017629639893
NOCTX,composition,40,0.0,0.0,0.0,0.0,-1.6958848714828492
NOCTX,date,40,0.0,0.0,0.0,0.0,0.1254329800605774
NOCTX,hash,40,0.0,0.0,0.0,0.0,0.06770246028900147
NOCTX,identifier,40,0.0,0.0,0.0,0.0,-0.10096940994262696
NOCTX,number,40,0.0,0.0,0.0,0.0,0.008018308877944946
NOCTX,path,40,0.0,0.0,0.0,0.0,0.0013031959533691406
NOCTX,proper_noun,40,0.0,0.0,0.0,0.0,0.06092724800109863
NOCTX,semantic,40,0.0,0.0,0.0,0.0,-0.8639163851737977
NOCTX,url,40,0.0,0.0,0.0,0.0,0.05042599439620972
