condition,target_tokens,n,clean_hit,semantic_hit,exact_hit,distractor_hit,rank_margin
NATIVE,1024,72,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.041666666666666664,4.836541917031186
NATIVE,2048,72,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,5.636822487314344
NATIVE,4096,72,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.013888888888888888,5.933041059535247
NATIVE,8192,72,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,5.178808615799978
NATIVE,16384,72,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.027777777777777776,4.680507251198583
NOCTX,1024,72,0.0,0.0,0.0,0.0,-0.7047192884816064
NOCTX,2048,72,0.0,0.0,0.0,0.0,0.33718544575903153
NOCTX,4096,72,0.0,0.0,0.0,0.0,-0.46114104323916966
NOCTX,8192,72,0.0,0.0,0.0,0.0,0.17752843432956272
NOCTX,16384,72,0.0,0.0,0.0,0.0,-0.6527204811573029
